,name,clouds,country,dt,humidity,lat,lon,temp_max,speed
404,Ubari,0,LY,1600738016,32,26.59,12.78,72.99,6.62
405,Salāya,99,IN,1600738017,84,22.32,69.6,82.81,13.67
406,Antiguo Morelos,12,MX,1600738018,52,22.55,-99.08,82.99,10.0
407,Scarborough,5,GB,1600738019,90,54.28,-0.4,51.01,6.58
408,Serenje,1,ZM,1600738021,44,-13.23,30.24,63.1,6.6
409,Surgut,75,RU,1600737963,81,61.25,73.42,42.8,11.18
410,Saint-Joseph,25,RE,1600738023,60,-21.37,55.62,68.0,8.05
411,Rongcheng,100,CN,1600738024,92,30.63,117.85,61.56,7.96
412,Itarema,0,BR,1600738025,81,-2.92,-39.92,76.17,13.73
413,Chengde,0,CN,1600738026,65,40.97,117.94,62.15,2.21
414,Borba,100,BR,1600738027,92,-4.39,-59.59,76.46,2.68
415,Hurghada,0,EG,1600737991,32,27.26,33.81,84.2,5.82
416,Balkhash,0,KZ,1600738030,55,46.84,74.98,50.0,11.18
417,Rodrigues Alves,100,BR,1600738031,97,-7.74,-72.65,73.69,2.3
418,Ambilobe,1,MG,1600738032,82,-13.2,49.05,69.44,3.69
419,Mount Isa,100,AU,1600738033,51,-20.73,139.5,82.4,3.36
420,Ulaangom,0,MN,1600738037,51,49.98,92.07,52.81,1.72
421,Barraute,40,CA,1600738038,62,48.43,-77.63,54.0,6.93
422,Sisimiut,100,GL,1600738039,98,66.94,-53.67,32.13,4.23
423,Cabra,100,ES,1600738040,64,37.47,-4.44,64.99,0.83
424,Rosarito,5,MX,1600737803,73,32.33,-117.03,73.4,11.41
425,Vidim,0,RU,1600738042,72,56.41,103.11,40.53,6.38
426,Archidona,100,ES,1600738044,71,37.1,-4.39,70.0,3.47
427,Jalu,0,LY,1600738045,61,29.03,21.55,70.11,9.35
428,Saratoga Springs,0,US,1600738046,80,43.08,-73.78,46.0,1.19
429,Bud,1,US,1600737769,48,39.45,-86.18,62.6,5.35
430,Biu,45,NG,1600738048,100,10.61,12.19,65.97,3.47
431,Bilma,2,NE,1600738049,17,18.69,12.92,87.06,10.31
432,Vol'sk,100,RU,1600738051,77,52.03,47.38,49.28,11.12
433,Masty,0,BY,1600738052,81,53.41,24.54,51.87,6.35
434,Bubaque,99,GW,1600738053,81,11.28,-15.83,80.26,5.95
435,Billings Metropolitan Area,1,US,1600737806,25,45.78,-108.5,73.4,4.7
436,Kendari,38,ID,1600738055,72,-3.94,122.5,84.56,2.08
437,Brigantine,1,US,1600738056,76,39.41,-74.36,57.99,3.36
438,Shihezi,0,CN,1600738058,37,44.3,86.03,62.65,4.47
439,Dori,60,BF,1600738059,58,14.04,-0.03,83.77,8.55
440,Mandalgovi,0,MN,1600738060,43,45.76,106.27,50.31,12.12
441,Ponta Delgada,40,PT,1600738061,88,37.73,-25.67,68.0,14.99
442,Arvin,0,US,1600737913,30,35.21,-118.83,98.01,5.99
443,Dwārka,98,IN,1600738063,84,22.24,68.97,83.3,13.38
444,Tura,100,IN,1600738064,98,25.52,90.22,73.81,4.79
445,Bengkulu,100,ID,1600738066,80,-3.8,102.27,78.64,4.59
446,Letlhakane,0,BW,1600738067,53,-21.42,25.58,67.32,24.4
447,Bozoum,100,CF,1600738068,96,6.32,16.38,67.57,3.22
448,Valparaíso,90,CL,1600738069,93,-33.04,-71.63,55.0,8.05
449,Kidal,0,ML,1600738070,23,18.44,1.41,89.69,6.24
450,Manoel Urbano,100,BR,1600738072,97,-8.84,-69.26,72.05,3.29
451,Freeport,1,US,1600738073,54,40.66,-73.58,60.01,3.36
452,Dourbali,100,TD,1600738074,79,11.81,15.86,74.66,7.67
453,Chirongui,100,YT,1600738075,69,-12.93,45.15,77.0,9.4
454,Klaksvík,100,FO,1600738076,81,62.23,-6.59,44.6,3.36
455,Mahārāganj,75,IN,1600738078,100,27.13,83.57,80.6,3.36
456,The Pas,1,CA,1600738079,63,53.83,-101.25,60.8,4.7
457,Howard Springs,40,AU,1600738080,58,-12.5,131.05,90.0,5.82
458,Shingū,75,JP,1600738083,65,33.73,135.98,77.0,5.82
459,Shar,100,KZ,1600738085,46,49.59,81.05,52.27,2.24
460,Westport,1,US,1600737918,47,41.14,-73.36,55.4,5.82
461,Udachny,1,RU,1600738087,61,66.42,112.4,46.4,4.47
462,Nizhniy Tsasuchey,0,RU,1600738088,59,50.52,115.13,47.57,5.61
463,Popondetta,97,PG,1600738090,81,-8.75,148.25,83.05,3.0
464,Payo,92,ID,1600738092,82,-3.75,103.64,77.58,1.61
465,Makīnsk,0,KZ,1600738093,92,52.63,70.42,38.19,8.57
466,Havre-St-Pierre,1,CA,1600738095,93,50.23,-63.6,39.2,8.05
467,Champerico,40,GT,1600738096,83,14.3,-91.92,80.6,5.77
468,Dudinka,100,RU,1600738097,76,69.41,86.18,50.0,26.84
469,Pekalongan,57,ID,1600738099,66,-6.89,109.68,72.0,3.49
470,Lavrentiya,100,RU,1600738100,69,65.58,-171.0,41.79,9.62
471,Wyndham,1,US,1600738101,81,37.7,-77.61,52.0,3.36
472,Dakar,31,SN,1600738102,88,14.69,-17.44,78.8,2.24
473,Salalah,75,OM,1600737926,78,17.02,54.09,80.6,5.82
474,Sohbatpur,0,PK,1600738104,15,28.52,68.54,83.61,3.24
475,Bredy,100,RU,1600738105,79,52.42,60.34,42.48,16.4
476,Yangi Marg`ilon,0,UZ,1600738107,47,40.43,71.72,57.2,4.7
477,Marathon,90,US,1600738108,63,44.9,-89.77,64.4,14.99
478,Beian,75,NO,1600738109,81,63.66,9.57,48.2,14.99
479,Sibolga,99,ID,1600738110,77,1.74,98.78,78.67,2.62
480,Kitgum,2,UG,1600738111,92,3.28,32.89,65.43,1.45
481,Oodweyne,59,SO,1600738112,51,9.41,45.06,77.18,11.65
482,El Tocuyo,68,VE,1600738114,79,9.79,-69.79,72.45,6.51
483,Quryq,0,KZ,1600738116,40,43.2,51.65,56.26,9.22
484,Iqaluit,5,CA,1600738117,93,63.75,-68.51,32.0,3.36
485,Puerto Escondido,75,MX,1600738118,61,15.85,-97.07,82.4,3.36
486,Cayenne,0,GF,1600738120,88,4.93,-52.33,80.6,3.36
487,Şırnak,0,TR,1600738122,37,37.52,42.46,61.7,4.45
488,Alta Floresta,97,BR,1600738123,93,-9.88,-56.09,71.71,1.68
489,Henties Bay,0,NA,1600738124,95,-22.12,14.28,53.01,1.01
490,Quzhou,100,CN,1600738125,92,28.96,118.87,64.53,6.58
491,Khandyga,0,RU,1600738126,60,62.67,135.6,53.2,1.59
492,Hofn,0,IS,1600738128,65,64.25,-15.21,41.32,9.78
493,Flinders,0,AU,1600738129,23,-34.58,150.86,73.99,20.8
494,Usinsk,0,RU,1600738130,98,65.99,57.53,31.12,10.96
495,Fairbanks,1,US,1600738047,50,64.84,-147.72,53.6,1.66
496,Onega,97,RU,1600738132,84,63.91,38.14,52.41,21.27
497,Dicabisagan,18,PH,1600738133,64,17.08,122.42,85.82,2.51
498,Takhtamygda,99,RU,1600738134,59,54.1,123.57,52.32,6.35
499,Catumbela,13,AO,1600738136,86,-12.43,13.55,69.82,2.37
500,Saulkrasti,100,LV,1600738137,93,57.26,24.41,52.0,8.05
501,San Bernardo,100,CL,1600738138,63,-33.6,-70.72,66.99,4.7
502,Licheng,20,CN,1600738139,74,23.3,113.83,84.2,2.24
503,Chinna Salem,100,IN,1600738140,81,11.65,78.9,75.96,6.62
504,Zhangaözen,0,KZ,1600738141,46,43.3,52.8,50.52,7.96
505,Presidencia Roque Sáenz Peña,0,AR,1600738143,41,-26.79,-60.44,56.1,6.78
